geoname,year,predictionr,taxeffortr
Nevada,2018,0.110033497,2.02640704
California,2014,0.113839355,1.975719116
Alaska,2014,0.087464461,1.431951562
Hawaii,2003,0.115723036,1.586135744
Hawaii,2010,0.12103323,1.706144804
Alaska,2008,0.065570928,0.411132381
Washington,2006,0.067080346,1.29642896
Hawaii,2012,0.096988477,1.293778283
Hawaii,2006,0.131187115,1.663358835
Hawaii,2014,0.116615911,1.502253856
Hawaii,2002,0.074471813,0.989433799
Oregon,2012,0.069754158,1.394533714
Alaska,2002,0.136638144,3.712892145
Hawaii,2013,0.07894299,0.981956156
California,2003,0.096308924,1.857262881
Alaska,2007,0.120406974,1.598679886
Oregon,2014,0.070312588,1.375070662
Hawaii,2005,0.12103323,1.601307551
Nevada,2000,0.110033497,2.268217456
Oregon,2013,0.110516322,2.164058858
California,2011,0.074728165,1.285597192
Hawaii,2000,0.125510552,1.561952683
Nevada,2016,0.134725965,2.525133358
Nevada,2011,0.083645628,1.673103288
Nevada,2007,0.084719494,1.768360392
Alaska,2001,0.081878994,1.628777964
California,2000,0.074471813,1.214327851
Washington,2007,0.066066424,1.292685165
Nevada,2008,0.092872681,1.954177589
Hawaii,2002,0.08634496,1.147180634
California,2017,0.115180141,1.984615555
Hawaii,2008,0.122800172,1.595120243
Nevada,2002,0.100047073,2.148703495
Nevada,2019,0.119281306,2.151585273
Nevada,2017,0.085565335,1.619108202
Alaska,2000,0.117087623,2.202932473
Hawaii,2010,0.118241106,1.666785638
Hawaii,2001,0.08890935,1.087215736
Alaska,2006,0.114643154,2.050457946
Washington,2000,0.078368901,1.483093805
Nevada,2015,0.111785491,2.141320425
Washington,2002,0.064544345,1.26849043
Washington,2008,0.092906862,1.839932946
Hawaii,2011,0.111785491,1.621936587
California,2019,0.076924796,1.214635292
Washington,2001,0.109715187,2.071755263
Alaska,2015,0.082178807,3.050925232
Washington,2012,0.10354435,2.355052325
Nevada,2014,0.095204859,1.799645735
Oregon,2006,0.089098814,1.821268318
Nevada,2009,0.068280588,1.473625561
Nevada,2007,0.121433822,2.534703065
California,2002,0.109996928,2.032050539
California,2006,0.089571432,1.508106678
Oregon,2011,0.115010746,2.447594369
Alaska,2013,0.086020792,0.948941542
Alaska,2002,0.109616882,2.978638688
Nevada,2012,0.073966289,1.397890282
Oregon,2005,0.081139097,1.787098492
Oregon,2002,0.101479288,2.382461701
Alaska,2012,0.113387118,0.927603668
Alaska,2016,0.107369498,5.917141887
Hawaii,2004,0.08316685,1.161611457
California,2005,0.067360223,1.200194972
Nevada,2003,0.081114341,1.783293233
California,2009,0.088393982,1.680289506
Oregon,2008,0.07731742,1.705690599
Oregon,2007,0.134977146,2.815549169
Oregon,2010,0.125959575,2.760570244
Oregon,2000,0.107823796,2.126458822
Alaska,2005,0.063292012,1.354685957
California,2007,0.09038014,1.540658978
Alaska,2003,0.118505627,3.364285952
Washington,2005,0.091864165,1.833001401
Alaska,2011,0.086956478,0.883432013
Alaska,2009,0.126483648,1.265527458
Alaska,2009,0.067360223,0.673970215
Hawaii,2009,0.086956478,1.212129566
Washington,2011,0.090718797,1.977555952
Oregon,2009,0.123902492,2.797420113
Alaska,2006,0.090614286,1.620687995
Oregon,2011,0.076407421,1.626059989
California,2016,0.084485794,1.44994189
California,2015,0.108620224,1.837339838
Washington,2005,0.119329687,2.381031646
Washington,2009,0.118140612,2.546287534
Washington,2010,0.061952849,1.406108272
Washington,2003,0.13105602,2.61159851
Nevada,2013,0.125510552,2.333178761
Oregon,2015,0.115180141,2.214100034
Alaska,2010,0.113028636,1.321541117
Hawaii,2007,0.098934992,1.267828434
California,2001,0.129838182,1.986766675
Nevada,2001,0.096988477,2.035486247
Oregon,2001,0.099768708,1.985478528
Nevada,2006,0.116430041,2.414058498
Oregon,2004,0.066179569,1.47732145
Nevada,2005,0.112017986,2.328323797
California,2011,0.121537946,2.090896278
Alaska,2004,0.064767912,1.68626916
Nevada,2011,0.071316845,1.426499522
Alaska,2014,0.094804573,1.552122489
California,2013,0.084375317,1.433518422
California,2003,0.091864165,1.771548224
California,2004,0.077260968,1.471121883
California,2012,0.099559013,1.853678124
Washington,2004,0.125710455,2.443717626
Washington,2013,0.112017986,2.500328923
Nevada,2010,0.106074263,2.246512671
California,2010,0.130806887,2.409552357
Oregon,2003,0.127486536,2.844380049
Oregon,2003,0.125710455,2.804753521
California,2018,0.113839355,1.818862899
Alaska,2018,0.086934728,2.754428698
Nevada,2004,0.095268881,2.109127802
Alaska,2017,0.103163927,4.56976992
California,2008,0.119027582,2.018929137
Indiana,2005,0.045595212,0.864580561
Wisconsin,2002,0.052766279,0.87012905
Illinois,2009,0.053194403,1.250894258
Michigan,2005,0.04201182,0.704023375
Wisconsin,2019,0.039753924,0.667580037
Wisconsin,2009,0.058359507,0.99185244
Ohio,2012,0.047721625,0.995397074
Michigan,2019,0.051600779,0.882758738
Wisconsin,2016,0.051261141,0.906582047
Ohio,2001,0.045595212,0.919490036
Ohio,2019,0.03857795,0.846029941
Michigan,2011,0.052744105,0.888088441
Wisconsin,2001,0.04250834,0.678860441
Illinois,2000,0.051362076,1.098095009
Indiana,2002,0.041050381,0.854886782
Illinois,2004,0.049382126,1.163756055
Michigan,2002,0.041817828,0.692890762
Illinois,2003,0.054659539,1.302906628
Indiana,2001,0.062263506,1.259204485
Illinois,2007,0.048326921,1.041364642
Michigan,2004,0.041270577,0.653900089
Indiana,2003,0.045237914,0.901396077
Indiana,2015,0.053670298,1.014945123
Ohio,2015,0.051362076,1.106755251
Indiana,2016,0.030468656,0.583600165
Illinois,2013,0.065595934,1.253162875
Ohio,2002,0.054659539,1.118603205
Ohio,2000,0.057716771,1.147325261
Wisconsin,2006,0.054270238,0.927287415
Illinois,2001,0.041638504,0.903376153
Illinois,2010,0.042706871,1.018112603
Michigan,2000,0.058742019,0.907529405
Illinois,2018,0.044675086,0.89351244
Michigan,2016,0.034085531,0.605482766
Michigan,2011,0.053198308,0.895736159
Michigan,2012,0.042829567,0.749986719
Ohio,2003,0.037710359,0.775906176
Ohio,2004,0.052744105,1.045566113
Wisconsin,2003,0.041638504,0.699618657
Wisconsin,2012,0.041378378,0.709700502
Wisconsin,2018,0.048131558,0.845585252
Wisconsin,2010,0.052337553,0.926485801
Illinois,2005,0.04849477,1.077235445
Illinois,2008,0.04058429,0.876840304
Illinois,2012,0.041817828,0.83122128
Indiana,2007,0.055581665,1.05322562
Michigan,2015,0.060613289,1.065756269
Wisconsin,2013,0.055096642,0.94164588
Illinois,2006,0.041195614,0.913124557
Indiana,2005,0.03176245,0.602282473
Michigan,2001,0.062263506,0.974700944
Ohio,2007,0.058359507,1.114973683
Indiana,2009,0.050349318,0.88267871
Illinois,2019,0.045561297,0.860013838
Wisconsin,2007,0.052005908,0.875346439
Illinois,2011,0.059471332,1.325547057
Wisconsin,2005,0.055128372,0.94602491
Wisconsin,2015,0.055021537,0.985563341
Wisconsin,2011,0.052848545,0.908676682
Michigan,2007,0.041329168,0.699661893
Ohio,2007,0.051914448,0.991839145
Ohio,2017,0.035498037,0.78542953
Michigan,2013,0.053403363,0.921297246
Michigan,2017,0.058844603,1.017687126
Wisconsin,2008,0.03472295,0.569814379
Ohio,2008,0.03959643,0.7528282
Michigan,2009,0.047102519,0.756675484
Illinois,2014,0.034747447,0.638877235
Indiana,2003,0.053862485,1.073246496
Michigan,2010,0.068396218,1.19068392
Illinois,2002,0.050292456,1.150335901
Michigan,2003,0.041536934,0.682610769
Ohio,2014,0.056719038,1.244834963
Michigan,2018,0.058441993,1.005275509
Indiana,2000,0.052885987,1.0627743
Wisconsin,2011,0.054940835,0.944651467
Illinois,2015,0.047191307,0.916296917
Indiana,2013,0.052814228,0.965740579
Ohio,2011,0.052014841,1.092326522
Illinois,2003,0.047750587,1.138219557
Indiana,2006,0.047889526,0.896428213
Indiana,2010,0.053390856,1.084135529
Illinois,2017,0.047600001,1.043804741
Illinois,2009,0.037758796,0.887917874
Michigan,2008,0.051914448,0.808735776
Indiana,2004,0.039235054,0.777438245
Ohio,2006,0.048326921,0.907460907
Wisconsin,2001,0.055021537,0.878696867
Ohio,2013,0.05322119,1.085132466
Illinois,2015,0.042829567,0.831606545
Indiana,2017,0.039803117,0.783194454
Ohio,2016,0.059600421,1.290597137
Indiana,2013,0.05784823,1.057790406
Ohio,2011,0.04732348,0.993806595
Michigan,2006,0.039292884,0.655227578
Indiana,2011,0.042976237,0.82394514
Wisconsin,2017,0.053315147,0.946137772
Ohio,2010,0.052516715,1.107200093
Wisconsin,2004,0.046921409,0.798734345
Ohio,2009,0.049778849,0.999575284
Michigan,2003,0.043832616,0.720337618
Indiana,2014,0.041679132,0.793980488
Ohio,2018,0.057636164,1.289745876
Wisconsin,2000,0.044029257,0.632117465
Ohio,2005,0.034686494,0.672904819
Michigan,2014,0.047532616,0.850196505
Indiana,2012,0.039292884,0.717745104
Indiana,2008,0.044923294,0.810793186
Wisconsin,2014,0.051715817,0.927591387
Illinois,2016,0.038817424,0.842293305
Wisconsin,2003,0.049628689,0.833871371
New York,2004,0.050807154,1.059009673
New Jersey,2001,0.046333328,0.899447479
Maryland,2009,0.047820276,0.94638144
Delaware,2014,0.04439042,0.938897581
Maryland,2006,0.046118751,0.885846261
Massachusetts,2013,0.050148211,0.953290174
Delaware,2001,0.041455319,0.914341282
Pennsylvania,2010,0.03966169,0.787884058
Massachusetts,2009,0.048517393,0.964449284
Maryland,2010,0.04699585,0.975991593
New Jersey,2001,0.046433979,0.901401373
Massachusetts,2014,0.046288833,0.868393238
Maryland,2003,0.050276461,1.047120855
Pennsylvania,2002,0.048090754,0.949376345
New Jersey,2016,0.043943884,0.809697159
Massachusetts,2002,0.046010792,0.943544032
Maryland,2007,0.043920146,0.837635205
New Jersey,2010,0.045393349,0.866884159
Maryland,2013,0.04353001,0.819885375
Maryland,2003,0.045014814,0.93753517
Maryland,2002,0.05121396,1.03314775
Massachusetts,2004,0.045416697,0.891842
Pennsylvania,2003,0.042215206,0.828576091
New Jersey,2013,0.047291269,0.867998868
New York,2011,0.041952378,0.763199281
Delaware,2013,0.040338542,0.731305926
New Jersey,2004,0.044304393,0.892769352
New York,2009,0.047291269,0.841892117
Pennsylvania,2001,0.045978978,0.865654486
New York,2003,0.047820276,1.024554799
Maryland,2015,0.046078979,0.846015186
Pennsylvania,2006,0.043448747,0.787290403
Massachusetts,2003,0.042323517,0.854982556
New York,2005,0.044025558,0.870662224
Delaware,2003,0.047291269,1.067209828
New Jersey,2006,0.05117434,0.904904491
New Jersey,2002,0.043824723,0.928527268
Pennsylvania,2011,0.04169341,0.79770962
Maryland,2007,0.051160935,0.97572992
New Jersey,2000,0.046816881,0.93390015
Delaware,2009,0.045014814,0.914595052
New Jersey,2002,0.048752005,1.032923039
Delaware,2009,0.045978978,0.934184608
Delaware,2005,0.050823536,1.023333195
Maryland,2001,0.047743094,0.909426919
Maryland,2008,0.050898471,0.958355861
New Jersey,2017,0.042802922,0.763052971
Delaware,2000,0.043350385,0.882191993
Pennsylvania,2013,0.048401648,0.946070876
Massachusetts,2008,0.051619563,0.909304212
Pennsylvania,2012,0.050372061,0.980411271
New Jersey,2018,0.045919411,0.788013033
Delaware,2004,0.044593386,0.965826887
Massachusetts,2001,0.048067903,0.828328495
Massachusetts,2012,0.045000446,0.876171789
Massachusetts,2006,0.043822708,0.815239456
New Jersey,2009,0.047022166,0.841478699
Pennsylvania,2003,0.041949243,0.823355922
New Jersey,2010,0.04699585,0.897487379
Pennsylvania,2014,0.051615551,1.042603611
Pennsylvania,2009,0.046496739,0.892758528
Pennsylvania,2004,0.046433979,0.882516888
New York,2000,0.044283414,0.889852372
New York,2001,0.043860159,0.857632013
Delaware,2006,0.039832504,0.766746944
Massachusetts,2003,0.043822708,0.885267884
New York,2008,0.048077272,0.809999416
New Jersey,2002,0.046692636,0.98929058
New Jersey,2011,0.041132164,0.755246588
Massachusetts,2010,0.053092661,1.082865141
Pennsylvania,2005,0.053443226,0.991089737
New York,2010,0.053215557,1.012432093
Massachusetts,2007,0.048714725,0.894363447
New Jersey,2012,0.044283414,0.838285061
Massachusetts,2001,0.048467401,0.835212832
Massachusetts,2015,0.048199548,0.898243145
Delaware,2002,0.048391189,1.0187147
Pennsylvania,2008,0.048467401,0.87846708
New Jersey,2002,0.040431594,0.856636057
New York,2008,0.045416697,0.765174403
New York,2006,0.044812546,0.836399815
New Jersey,2008,0.041046483,0.663792676
Pennsylvania,2011,0.039329758,0.752486447
Massachusetts,2011,0.045422143,0.874419201
New York,2002,0.04380055,0.897830073
Massachusetts,2007,0.043134487,0.791914745
Delaware,2016,0.041536176,0.829918508
Pennsylvania,2001,0.050276461,0.94656396
Delaware,2007,0.041274207,0.799354829
Maryland,2011,0.044424001,0.905946666
Maryland,2005,0.047291269,0.940840808
Massachusetts,2005,0.041725474,0.799548417
Pennsylvania,2015,0.039756954,0.781727761
New York,2007,0.050732956,0.890692541
Maryland,2000,0.045770753,0.849185388
New Jersey,2015,0.046078979,0.831267359
Pennsylvania,2007,0.043860159,0.797554589
Pennsylvania,2000,0.041679777,0.756263099
Delaware,2008,0.042124104,0.78741352
Maryland,2012,0.045049874,0.882367184
Delaware,2010,0.051049204,1.061386841
New Jersey,2003,0.045906523,0.933036662
New York,2007,0.045381055,0.796731944
Delaware,2001,0.044345401,0.978085123
Maryland,2014,0.041949243,0.781238816
New Jersey,2014,0.047257482,0.870706009
Maryland,2004,0.051035683,1.029952341
Massachusetts,2000,0.042564412,0.763984657
Delaware,2017,0.046575637,0.902639116
New Jersey,2007,0.05121396,0.834591568
Maine,2015,0.036460489,0.515720912
Vermont,2007,0.038260375,0.368600258
Maine,2003,0.013251756,0.205553328
Connecticut,2007,0.009328594,0.166966056
New Hampshire,2012,0.055470407,1.70279981
Connecticut,2009,0.038368459,0.745889063
New Hampshire,2003,0.041142027,1.078908749
Vermont,2012,0.017663887,0.186838975
New Hampshire,2010,0.040775021,1.151345641
Vermont,2009,0.013833592,0.142811926
Maine,2012,0.011393623,0.15949324
New Hampshire,2016,0.022929417,0.68603297
Maine,2018,0.04165573,0.612055917
Rhode Island,2009,0.027215091,0.504079316
Vermont,2003,0.011478968,0.155610307
Maine,2009,0.01087132,0.157530015
Rhode Island,2007,0.057909868,1.001694591
Connecticut,2011,0.015508039,0.270898858
Maine,2005,0.011457698,0.163460728
Connecticut,2013,0.030755788,0.474274316
Rhode Island,2011,0.025165869,0.465384792
Maine,2004,0.039902423,0.597107474
Maine,2011,0.024971295,0.352352047
New Hampshire,2001,0.047951011,1.273589087
Connecticut,2005,0.030297922,0.545993111
New Hampshire,2003,0.022175977,0.581542954
Maine,2014,0.029286091,0.425341037
Connecticut,2010,0.041550041,0.799937642
Rhode Island,2012,0.041488862,0.747011367
Rhode Island,2004,0.007600282,0.136445645
Maine,2003,0.038368459,0.595148635
Connecticut,2003,0.045428063,0.866360831
New Hampshire,2006,0.025063209,0.715690913
Vermont,2016,0.042812168,0.434444584
Connecticut,2015,0.056455531,0.905891664
Maine,2007,0.011416432,0.151810624
Vermont,2004,0.056455531,0.724292148
Vermont,2011,0.027953376,0.292593981
Connecticut,2004,0.033048475,0.637965731
Rhode Island,2000,0.019463295,0.330139279
Vermont,2000,0.022776912,0.281216925
New Hampshire,2017,0.044299383,1.387403667
Connecticut,2008,0.026033132,0.44969766
Connecticut,2018,0.03769957,0.549699845
Connecticut,2000,0.073069219,1.191799369
Vermont,2014,0.05078516,0.509378718
Connecticut,2011,0.062706935,1.09538269
Rhode Island,2001,0.03344739,0.535849269
Rhode Island,2002,0.039079892,0.700410465
Vermont,2010,0.014643319,0.158062817
Rhode Island,2013,0.028988709,0.524578073
Vermont,2002,0.022527959,0.299139934
New Hampshire,2015,0.038339719,1.169378741
New Hampshire,2011,0.019463295,0.56571946
Maine,2017,0.054563152,0.812159543
New Hampshire,2017,0.030297922,0.94889467
Vermont,2011,0.006226844,0.065177716
Vermont,2001,0.0689164,0.855457177
Vermont,2008,0.024305246,0.245307321
New Hampshire,2014,0.035027008,1.109000603
New Hampshire,2004,0.03004442,0.810917703
Maine,2002,0.019229964,0.294168832
Maine,2016,0.01087132,0.156885298
Connecticut,2001,0.029196415,0.510798326
New Hampshire,2013,0.033092461,0.988424754
Vermont,2005,0.036473203,0.382299049
New Hampshire,2002,0.014896126,0.38224206
New Hampshire,2005,0.073069219,2.047772126
Vermont,2013,0.009007619,0.091962803
Maine,2010,0.005106671,0.075665594
Maine,2008,0.009007619,0.118906021
Vermont,2017,0.01153435,0.119055405
New Hampshire,2009,0.033243917,0.968631496
Rhode Island,2005,0.006226844,0.106978505
Connecticut,2006,0.022675757,0.416602487
Vermont,2006,0.021284759,0.214998431
Rhode Island,2003,0.05963945,1.064340172
Maine,2013,0.01153435,0.159511406
New Hampshire,2007,0.055509703,1.549961547
Rhode Island,2014,0.026033132,0.477641481
Connecticut,2012,0.061206187,0.963907323
Rhode Island,2010,0.034390431,0.663664509
Vermont,2015,0.054206241,0.547003488
Connecticut,2019,0.06348626,0.909953322
Maine,2000,0.039741573,0.550197257
New Hampshire,2005,0.044709853,1.252998068
New Hampshire,2008,0.067080685,1.815258113
Vermont,2003,0.008733041,0.118386181
Rhode Island,2006,0.026099466,0.454184158
Connecticut,2004,0.027665637,0.534055759
Rhode Island,2011,0.069966394,1.293867348
Maine,2011,0.025120094,0.354451643
Connecticut,2016,0.062214944,1.044814533
New Hampshire,2000,0.035886756,0.956908702
Connecticut,2002,0.019229964,0.375130967
Connecticut,2017,0.037010278,0.60744684
New Hampshire,2013,0.03344739,0.999025981
Maine,2006,0.005990662,0.079775721
Rhode Island,2003,0.036904971,0.658615105
Rhode Island,2008,0.036573934,0.623939043
Maine,2019,0.037504841,0.532361117
Connecticut,2014,0.034476774,0.538541403
Connecticut,2015,0.041550041,0.666716533
Maine,2001,0.027662401,0.399044463
Kansas,2010,0.057204916,1.125462909
Kansas,2002,0.047857225,0.905210755
Minnesota,2014,0.046706369,0.641627409
Missouri,2006,0.032416451,0.737992115
Minnesota,2012,0.041262478,0.590617362
Minnesota,2006,0.064008852,0.922328382
Missouri,2016,0.020381365,0.49071048
Kansas,2018,0.047547531,0.8456683
Iowa,2015,0.057204916,1.107864507
North Dakota,2008,0.03547746,0.486761422
Missouri,2009,0.05240677,1.284230988
South Dakota,2010,0.03547746,1.006527012
South Dakota,2005,0.039566309,1.092828944
Missouri,2003,0.051331122,1.213811614
North Dakota,2003,0.054081163,1.013792431
South Dakota,2015,0.039404891,1.122736034
Nebraska,2005,0.037579645,0.732072907
Missouri,2017,0.059336939,1.478389554
Missouri,2001,0.055362412,1.197804659
Nebraska,2010,0.046390724,1.102037856
Nebraska,2001,0.062672957,1.227024141
Iowa,2004,0.055223208,1.23536325
Missouri,2017,0.04190734,1.044128241
Nebraska,2003,0.060127159,1.192873753
South Dakota,2018,0.057875588,1.567590236
Nebraska,2004,0.04809971,0.928858108
Minnesota,2002,0.044005886,0.674748558
Minnesota,2008,0.02738428,0.395629964
Kansas,2004,0.08496687,1.570735044
North Dakota,2009,0.055640455,0.737477372
Iowa,2002,0.064351398,1.272259576
South Dakota,2012,0.084107177,2.400901397
Kansas,2000,0.046706369,0.82708299
Missouri,2004,0.048615577,1.141963994
Iowa,2003,0.070591623,1.5068322
North Dakota,2005,0.098816588,1.719407557
North Dakota,2001,0.055974906,0.909536975
Kansas,2015,0.062737516,1.206766865
Minnesota,2007,0.050494646,0.735539595
Iowa,2009,0.030674572,0.598337925
Minnesota,2013,0.041487653,0.581253317
Minnesota,2009,0.047022011,0.712287431
South Dakota,2019,0.057524976,1.552253867
Iowa,2001,0.046059332,0.846145391
Kansas,2003,0.060366881,1.140264949
Kansas,2017,0.047022011,0.956509579
Iowa,2006,0.020381365,0.422636832
South Dakota,2014,0.043790299,1.253874111
Kansas,2001,0.055640455,0.98607832
North Dakota,2006,0.047132333,0.759040764
South Dakota,2000,0.062089985,1.519411355
Kansas,2015,0.050643103,0.974128748
Missouri,2013,0.057999928,1.44669973
Iowa,2011,0.034038885,0.684110686
Iowa,2010,0.039709954,0.825078458
Minnesota,2010,0.037138278,0.586613683
Minnesota,2003,0.052164583,0.802753111
Iowa,2017,0.037262708,0.714759645
South Dakota,2003,0.041928355,1.136008089
Minnesota,2001,0.08654501,1.244639471
Minnesota,2018,0.06475493,0.884824806
Minnesota,2011,0.06413982,0.960451563
Kansas,2003,0.047647146,0.900002944
